age,c_charge_degree,race,age_cat,score_text,sex,priors_count,length_of_stay,days_b_screening_arrest,decile_score,two_year_recid
69,0,5,1,1,1,0,1,-1.0,1,0
34,0,0,0,1,1,0,11,-1.0,3,1
24,0,0,2,1,1,4,2,-1.0,4,1
44,1,5,0,1,1,0,2,0.0,1,0
41,0,2,0,2,1,14,7,-1.0,6,1
43,0,5,0,1,1,3,1,-1.0,4,0
39,1,2,0,1,0,0,3,-1.0,1,0
27,0,2,0,1,1,0,2,-1.0,4,0
23,1,0,2,2,1,3,5,0.0,6,1
37,1,2,0,1,0,0,1,0.0,1,0
41,0,0,0,1,1,0,1,-1.0,4,0
47,0,2,1,1,0,1,15,-20.0,1,1
31,0,0,0,1,1,7,4,22.0,3,1
37,1,3,0,1,1,0,1,0.0,1,0
25,0,0,0,0,1,3,2,-1.0,10,0
31,0,2,0,2,1,6,2,-1.0,5,1
31,0,2,0,1,1,5,2,-1.0,3,1
64,0,0,1,2,1,13,2,-1.0,6,1
21,0,0,2,0,1,1,4,-1.0,9,1
27,1,2,0,1,1,0,1,0.0,2,1
21,0,2,2,1,0,0,2,-2.0,4,0
24,0,3,2,1,1,1,1,0.0,4,1
43,1,2,0,1,1,1,2,-1.0,1,0
32,1,5,0,1,1,0,2,-1.0,3,0
27,0,0,0,1,1,8,18,-1.0,3,1
26,0,0,0,2,1,5,1,-1.0,7,1
33,0,0,0,0,1,0,38,0.0,10,1
30,0,2,0,0,1,9,45,0.0,9,1
32,0,0,0,0,1,4,2,-1.0,8,1
55,0,2,1,1,1,0,3,-1.0,1,0
49,0,5,1,1,1,7,4,-1.0,3,1
33,1,2,0,2,0,4,12,-1.0,5,1
24,1,2,2,1,1,1,2,0.0,2,1
34,0,0,0,0,1,21,34,0.0,9,1
29,1,2,0,1,1,0,0,0.0,2,0
21,0,0,2,0,0,2,80,-1.0,8,0
51,1,0,1,1,1,2,2,-1.0,1,0
29,1,2,0,1,1,2,1,-1.0,2,1
51,0,0,1,1,0,7,2,-1.0,2,0
29,0,0,0,2,1,0,1,0.0,7,1
25,1,2,0,0,1,9,7,-1.0,10,1
35,0,0,0,0,1,13,1,-1.0,8,1
49,1,2,1,1,1,0,1,0.0,1,0
29,0,0,0,1,1,0,1,0.0,4,0
29,0,2,0,1,1,1,1,-24.0,2,1
28,0,5,0,1,0,0,1,-1.0,2,0
31,0,0,0,2,1,15,136,-1.0,5,0
24,0,0,2,1,1,2,2,-1.0,4,1
30,1,3,0,2,1,0,24,0.0,7,0
49,1,0,1,1,1,4,1,-1.0,1,0
53,0,2,1,2,1,8,14,-13.0,5,0
35,0,0,0,1,1,5,1,-1.0,3,0
27,0,0,0,0,1,15,2,-1.0,10,1
38,1,2,0,1,1,4,2,-1.0,2,1
22,0,0,2,1,1,1,2,-1.0,4,1
29,0,0,0,0,1,4,19,-1.0,9,1
62,1,3,1,1,1,0,0,0.0,1,0
27,0,0,0,2,1,6,31,0.0,6,1
33,1,5,0,1,1,0,2,-1.0,1,0
56,1,0,1,1,0,0,4,0.0,1,0
45,0,3,1,1,1,6,242,-1.0,1,1
22,0,3,2,1,1,1,2,-1.0,4,0
39,1,0,0,1,1,1,5,-1.0,4,0
29,0,0,0,2,1,5,2,0.0,6,1
27,0,2,0,2,1,1,15,-1.0,6,1
40,0,0,0,1,1,2,4,-15.0,2,0
22,1,0,2,1,1,1,17,0.0,3,1
22,0,2,2,0,1,0,58,-1.0,8,0
26,0,0,0,1,0,1,3,-1.0,4,1
32,0,0,0,1,1,0,2,-1.0,2,0
41,1,0,0,1,1,1,2,-1.0,2,0
30,1,0,0,0,1,8,2,-1.0,10,1
50,0,5,1,1,1,0,1,-1.0,1,1
25,0,0,0,0,1,14,8,-1.0,10,1
20,0,5,2,2,1,0,2,-1.0,5,1
22,0,0,2,0,1,2,31,0.0,9,1
35,1,0,0,1,0,1,1,-1.0,2,0
36,0,0,0,2,1,9,4,0.0,7,1
26,0,2,0,0,1,7,1,0.0,8,1
21,0,5,2,2,1,1,4,0.0,6,1
25,0,2,0,0,1,9,1,-1.0,8,1
20,0,2,2,2,0,0,1,-1.0,7,0
39,0,2,0,1,1,2,0,-2.0,1,1
54,1,2,1,1,0,0,1,0.0,1,0
44,1,3,0,1,0,0,2,-2.0,1,0
19,1,0,2,1,1,1,10,-10.0,4,1
30,0,0,0,1,1,1,1,-1.0,2,0
39,0,2,0,1,0,0,2,-1.0,1,1
24,0,2,2,2,1,8,13,-1.0,6,1
30,0,2,0,1,1,0,6,-1.0,4,0
31,1,2,0,2,1,0,39,-1.0,5,0
39,0,2,0,1,0,1,107,-1.0,4,0
43,0,2,0,1,1,1,2,-30.0,1,0
21,0,0,2,0,1,3,7,-1.0,9,1
38,1,2,0,1,1,5,3,-1.0,4,1
34,0,2,0,2,1,0,15,0.0,5,0
33,0,0,0,2,1,5,1,0.0,5,1
37,0,0,0,1,1,3,2,0.0,2,0
