sex,race,case_type,wcisclass,age_offense,prior_felony,prior_misdemeanor,prior_criminal_traffic,highest_severity,release,is_recid_new,recid_180d,violent_crime,recid_180d_violent
1,0,1,16,40,0,0,0,7.0,1,0.0,0.0,0,0.0
1,3,2,13,39,0,0,0,9.0,1,0.0,0.0,0,0.0
1,0,2,49,17,0,0,0,9.0,1,0.0,0.0,0,0.0
1,3,0,35,65,0,0,0,7.0,0,0.0,0.0,0,0.0
1,0,0,31,51,1,0,0,7.0,1,0.0,0.0,0,0.0
1,0,2,16,55,1,0,3,7.0,1,0.0,0.0,0,0.0
1,0,2,11,41,1,1,0,10.0,1,0.0,0.0,0,0.0
1,0,2,49,41,1,1,0,10.0,1,0.0,0.0,0,0.0
1,3,0,34,22,0,0,0,7.0,1,0.0,0.0,0,0.0
1,0,1,16,19,2,0,0,11.0,1,0.0,0.0,0,0.0
1,0,1,14,18,2,1,0,11.0,1,0.0,0.0,0,0.0
1,0,2,13,19,2,0,0,9.0,0,0.0,0.0,0,0.0
1,3,0,35,57,0,0,0,7.0,0,1.0,1.0,0,0.0
1,3,0,35,59,0,0,1,7.0,0,0.0,0.0,0,0.0
1,3,0,35,35,0,0,0,7.0,0,0.0,0.0,0,0.0
1,0,1,16,42,1,0,0,11.0,1,0.0,0.0,0,0.0
1,3,0,35,55,0,0,0,7.0,0,0.0,0.0,0,0.0
1,3,0,31,23,0,0,0,7.0,1,0.0,0.0,0,0.0
1,0,0,31,19,1,0,0,7.0,1,0.0,0.0,0,0.0
1,0,1,47,19,0,0,1,18.0,1,0.0,0.0,0,0.0
1,3,0,35,62,0,0,0,7.0,0,0.0,0.0,0,0.0
1,0,0,31,51,0,0,0,7.0,1,0.0,0.0,0,0.0
1,2,1,16,31,0,0,0,16.0,1,0.0,0.0,0,0.0
0,3,0,31,22,0,0,1,7.0,1,0.0,0.0,0,0.0
0,3,0,31,23,0,0,1,7.0,1,0.0,0.0,0,0.0
1,3,2,16,20,0,0,0,7.0,1,0.0,0.0,0,0.0
0,0,0,31,52,0,0,0,7.0,1,0.0,0.0,0,0.0
1,0,2,24,21,0,0,0,10.0,1,0.0,0.0,1,0.0
1,0,0,35,32,1,0,1,7.0,0,0.0,0.0,0,0.0
1,0,2,13,39,1,0,2,9.0,1,0.0,0.0,0,0.0
0,0,2,16,19,0,0,0,7.0,1,0.0,0.0,0,0.0
0,0,2,55,17,0,0,0,10.0,1,0.0,0.0,0,0.0
0,0,2,62,21,0,0,0,10.0,1,1.0,1.0,1,0.0
0,3,2,11,22,0,1,0,10.0,1,0.0,0.0,0,0.0
0,0,2,6,17,0,0,0,10.0,1,1.0,1.0,1,1.0
0,0,2,6,18,0,1,0,10.0,1,1.0,1.0,1,1.0
0,0,2,6,19,0,2,0,10.0,1,1.0,1.0,1,0.0
0,0,2,13,20,0,4,0,9.0,0,0.0,0.0,0,0.0
0,0,1,8,19,0,0,0,10.0,1,0.0,0.0,1,0.0
0,0,1,6,19,0,0,0,10.0,1,0.0,0.0,1,0.0
0,0,1,55,18,2,0,0,12.0,1,1.0,1.0,0,0.0
0,0,1,55,18,2,0,0,12.0,1,1.0,1.0,0,0.0
0,0,1,55,20,3,0,0,13.0,1,0.0,0.0,0,0.0
0,0,1,5,19,0,0,0,13.0,1,0.0,0.0,0,0.0
0,0,2,49,22,0,1,0,10.0,1,0.0,0.0,0,0.0
0,3,2,47,19,0,0,0,10.0,1,0.0,0.0,0,0.0
0,0,2,55,17,0,0,0,10.0,1,0.0,0.0,0,0.0
0,0,0,35,22,0,1,0,7.0,0,0.0,0.0,0,0.0
0,0,2,50,16,0,1,0,10.0,1,0.0,0.0,0,0.0
0,0,0,31,24,0,0,0,7.0,1,1.0,1.0,0,0.0
0,0,0,31,25,0,0,2,7.0,1,0.0,0.0,0,0.0
0,0,1,49,17,0,0,0,10.0,0,0.0,0.0,0,0.0
0,0,1,55,22,0,0,0,12.0,0,1.0,1.0,0,0.0
0,0,1,33,20,0,1,0,12.0,1,0.0,0.0,0,0.0
0,0,2,49,20,1,0,0,10.0,1,0.0,0.0,0,0.0
1,0,2,16,19,0,0,0,7.0,1,1.0,1.0,0,0.0
1,0,2,16,22,0,2,0,7.0,0,0.0,0.0,0,0.0
0,3,2,49,26,0,0,0,10.0,1,0.0,0.0,0,0.0
1,0,2,16,18,0,0,0,7.0,1,1.0,1.0,0,0.0
1,0,1,16,18,0,1,0,12.0,1,0.0,0.0,0,0.0
0,3,1,42,40,0,0,0,17.0,1,0.0,0.0,1,0.0
1,2,2,13,44,0,0,1,9.0,1,0.0,0.0,0,0.0
1,3,2,43,36,0,0,0,7.0,1,0.0,0.0,0,0.0
0,3,0,43,18,0,0,0,7.0,1,0.0,0.0,0,0.0
1,3,2,6,28,0,1,0,10.0,1,1.0,1.0,1,0.0
1,3,2,5,29,0,1,0,10.0,1,1.0,1.0,0,0.0
1,3,2,13,29,0,2,0,9.0,0,0.0,0.0,0,0.0
1,3,2,55,21,0,0,0,10.0,1,1.0,1.0,0,0.0
1,3,0,35,24,0,1,0,7.0,0,0.0,0.0,0,0.0
1,3,1,38,27,0,0,0,12.0,1,0.0,0.0,0,0.0
1,3,0,35,25,0,2,1,7.0,1,0.0,0.0,0,0.0
1,3,2,5,25,0,1,2,10.0,1,0.0,0.0,0,0.0
1,3,2,13,24,0,0,0,9.0,1,0.0,0.0,0,0.0
1,2,1,55,24,0,0,0,13.0,1,0.0,0.0,0,0.0
1,3,0,31,19,0,2,0,7.0,1,0.0,0.0,0,0.0
1,3,1,32,22,0,0,0,10.0,1,0.0,0.0,0,0.0
1,0,2,16,38,2,0,1,7.0,1,1.0,1.0,0,0.0
1,1,2,49,27,0,0,0,10.0,0,0.0,0.0,0,0.0
1,1,2,16,24,0,1,0,7.0,0,1.0,1.0,0,1.0
1,1,1,37,25,1,2,0,10.0,1,1.0,1.0,1,1.0
1,1,2,6,21,2,1,0,9.0,1,1.0,1.0,1,1.0
1,1,1,5,25,2,2,0,13.0,1,1.0,1.0,1,0.0
1,1,1,5,26,2,2,0,10.0,1,1.0,1.0,0,0.0
1,1,2,5,27,3,2,0,10.0,1,1.0,1.0,0,0.0
1,1,2,11,30,3,3,0,10.0,1,0.0,0.0,0,0.0
1,0,1,56,17,1,0,0,16.0,1,1.0,1.0,1,1.0
1,0,1,5,18,1,0,0,13.0,0,1.0,1.0,0,1.0
1,3,1,39,28,0,0,0,12.0,1,0.0,0.0,0,0.0
1,3,2,55,35,1,2,0,10.0,1,0.0,0.0,0,0.0
1,3,2,50,35,1,2,0,10.0,1,0.0,0.0,0,0.0
1,3,2,16,39,1,3,0,7.0,1,0.0,0.0,0,0.0
1,3,0,35,28,0,0,1,7.0,0,1.0,1.0,0,0.0
1,3,0,35,30,0,0,2,7.0,0,0.0,0.0,0,0.0
1,3,0,35,21,0,0,1,7.0,0,0.0,0.0,0,0.0
1,3,0,35,21,0,0,1,7.0,1,0.0,0.0,0,0.0
1,0,1,18,19,0,0,0,13.0,1,0.0,0.0,0,0.0
1,0,2,49,24,1,0,0,10.0,1,0.0,0.0,0,0.0
1,0,2,6,27,2,1,0,10.0,1,0.0,0.0,1,0.0
1,0,0,31,30,1,0,0,7.0,1,0.0,0.0,0,0.0
1,0,1,1,17,0,0,0,10.0,1,0.0,0.0,0,0.0
1,0,2,13,22,3,0,0,9.0,1,1.0,1.0,0,0.0
1,0,2,49,23,3,2,1,10.0,0,1.0,1.0,0,0.0
1,0,0,34,23,3,3,0,7.0,1,1.0,1.0,0,0.0
1,0,2,11,24,3,4,1,10.0,1,1.0,1.0,0,1.0
1,0,2,49,24,3,4,1,10.0,1,1.0,1.0,0,1.0
1,0,1,54,25,4,6,1,12.0,1,1.0,1.0,1,0.0
1,0,2,11,25,5,5,1,10.0,0,1.0,1.0,0,0.0
1,3,2,6,24,1,1,2,10.0,1,1.0,1.0,1,0.0
1,3,0,35,24,1,2,1,7.0,0,1.0,1.0,0,0.0
1,3,0,35,24,1,2,1,7.0,1,1.0,1.0,0,0.0
1,3,1,7,25,1,3,2,18.0,0,1.0,1.0,0,0.0
1,3,2,16,25,2,2,2,7.0,0,1.0,1.0,0,0.0
1,3,2,11,38,3,3,2,10.0,1,0.0,0.0,0,0.0
1,3,0,31,26,3,0,0,7.0,0,1.0,1.0,0,0.0
1,3,0,35,31,3,1,2,7.0,0,1.0,1.0,0,0.0
1,3,0,31,32,3,1,3,7.0,1,0.0,0.0,0,0.0
1,3,1,7,22,0,1,0,15.0,1,1.0,1.0,0,0.0
1,3,2,63,24,1,1,1,10.0,1,1.0,1.0,0,1.0
1,3,1,54,25,1,2,1,12.0,1,0.0,0.0,1,0.0
1,0,2,6,23,0,0,0,9.0,1,1.0,1.0,1,0.0
1,0,2,16,25,0,1,0,7.0,1,0.0,0.0,0,0.0
1,3,1,33,16,3,0,0,17.0,0,0.0,0.0,0,0.0
1,3,2,55,18,0,0,0,10.0,1,0.0,0.0,0,0.0
1,0,2,11,20,1,0,0,10.0,1,0.0,0.0,0,0.0
1,0,2,13,23,1,1,0,9.0,1,0.0,0.0,0,0.0
1,3,0,35,29,0,0,0,7.0,0,0.0,0.0,0,0.0
1,3,2,6,26,1,2,0,10.0,0,1.0,1.0,1,1.0
1,3,1,6,27,0,3,0,13.0,0,1.0,1.0,1,1.0
1,3,2,5,27,1,2,0,10.0,0,1.0,1.0,0,1.0
1,3,2,5,27,1,2,0,10.0,0,1.0,1.0,0,1.0
1,3,2,6,29,1,5,0,10.0,0,1.0,1.0,1,0.0
1,3,2,13,28,1,5,0,9.0,0,1.0,1.0,0,0.0
1,3,2,5,28,1,5,0,10.0,0,1.0,1.0,0,0.0
